"file","h1","h1_count","heading_count","line_count","word_count","link_count","image_count","code_fence_count","missing_language_fence_count","table_count","html_table_count","issue_count"
"markdown/acct-lifecycle-events/account-lifecycle-configure-simple.md","Configure onboarding tasks in playbook","1","4","52","262","2","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-configure.md","Account onboarding","1","1","27","142","5","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-ale-defn.md","Create a customer success definition record","1","4","109","301","1","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-applicable-outcome.md","Create an applicable success outcome","1","3","45","161","1","2","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-blueprint-template.md","Create a success blueprint template","1","4","112","781","2","4","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-blueprint.md","Create a success blueprint","1","3","90","773","5","2","0","0","0","0","3"
"markdown/acct-lifecycle-events/account-lifecycle-create-case.md","Create an account onboarding case","1","3","33","135","2","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-crm-opportunity.md","Create an opportunity in Microsoft Dynamics CRM","1","4","67","438","2","2","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-crm-task.md","Create a task in Microsoft Dynamics CRM","1","3","54","363","5","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-engage.md","Create an engagement","1","5","208","460","1","0","0","0","0","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-create-imp-record.md","Create an implementation record","1","3","278","580","1","2","0","0","0","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-create-internal-play-playbook.md","Create an internal play playbook","1","3","56","571","5","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-internal-play-task.md","Create an internal play task","1","4","185","522","2","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-internal-play.md","Create an internal play playbook record","1","5","188","600","3","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-object.md","Create a success objective","1","4","198","389","1","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-onboard-success-play.md","Create a success play for account onboarding","1","3","43","180","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-outcome.md","Create a primary success outcome","1","4","225","507","3","1","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-par-roadmap-temp.md","Create a product adoption roadmap template","1","5","126","557","3","1","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-par-roadmap.md","Create a product adoption roadmap","1","4","76","708","5","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-prod-cap.md","Create a product capability","1","4","154","361","4","0","0","0","0","2","3"
"markdown/acct-lifecycle-events/account-lifecycle-create-renewal-playbook.md","Create a renewal playbook","1","3","74","705","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-risk-signal.md","Create a risk signal","1","4","243","535","1","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-success-case-playbook.md","Create a customer play","1","3","61","653","5","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-success-case-task.md","Create a customer play task","1","4","213","576","2","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-success-case.md","Create a customer play record","1","5","236","709","4","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-create-success-play.md","Create a success play","1","4","59","347","2","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-create-touchpoint.md","Create a touchpoint","1","4","240","517","1","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-crm-integration.md","Enable integration with Microsoft Dynamics CRM","1","1","125","793","7","3","4","4","0","0","8"
"markdown/acct-lifecycle-events/account-lifecycle-cust-succ-playbook.md","Customer success playbooks","1","1","29","160","4","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-cust-success-related-items.md","View related items","1","1","32","195","1","1","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-customer-success-landing-page.md","Use Customer Success Management","1","1","25","130","3","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-customer-success-responsibilities.md","Customer success management responsibilities","1","1","32","257","1","0","0","0","1","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-data-import-valid.md","Data import and validation","1","1","22","167","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-data-valid-assist.md","Configure data validation using the Data Validation Assist table","1","4","68","467","1","0","1","1","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-dce-insights-table.md","DCE Insights tables","1","5","45","307","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-dce-insights.md","Data Context Engine (DCE) Insights","1","1","33","321","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-define-context-engine-mapper.md","Configure the Context Engine Mapper","1","1","152","774","1","4","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-define-data-source-calculate.md","Define a calculated metric data source","1","5","122","886","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-define-data-source-data-fabric-table.md","Define a Workflow Data Fabric table data source","1","6","64","404","5","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-define-data-source-table.md","Define a table data source","1","6","164","685","5","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-define-data-source.md","Define the data source","1","1","186","1103","9","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-domain-separation.md","Domain separation and Customer Success Management","1","6","87","592","4","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-engagement.md","Engagements","1","1","27","183","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-events-customer-success-about.md","Customer success","1","2","40","259","0","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-events-landing-page.md","Configure Customer Success Management","1","1","35","327","14","0","0","0","1","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-events-landing.md","Customer Success Management","1","2","46","315","9","0","0","0","0","1","4"
"markdown/acct-lifecycle-events/account-lifecycle-events-onboarding-landing.md","Account onboarding landing page","1","1","32","244","1","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-explore.md","Explore Customer Success Management","1","2","35","258","2","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-imp-record.md","Implementation record","1","1","30","195","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-import-builder.md","Configure the account onboarding data import task","1","4","66","487","3","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-import-data.md","Import data into the account onboarding playbook","1","5","79","731","1","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-import-flow.md","Account onboarding data validation flow","1","1","26","236","2","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-internal-playbook.md","Internal play playbook","1","1","24","180","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-knowledge-base.md","Account onboarding knowledge base","1","1","34","475","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-manage-cust-succ-playbooks.md","Manage customer success playbooks","1","1","25","178","4","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-manage-engagement.md","Manage engagements","1","1","25","135","4","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-onboard-playbook.md","Onboarding playbook","1","1","24","244","2","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-oob-rec.md","Recommended Actions available with account onboarding","1","4","74","772","1","1","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-pad.md","Configure the onboarding playbook activities","1","1","25","162","3","1","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-par-roadmap.md","Product adoption roadmap","1","1","38","274","3","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-playbook-overview.md","Account onboarding","1","2","36","294","0","1","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-prod-cap-usage.md","View product usage and capability data","1","1","51","379","2","3","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-prod-usage-data-model.md","Product and capability usage records","1","2","298","591","2","0","0","0","0","2","3"
"markdown/acct-lifecycle-events/account-lifecycle-product-adopt.md","Product adoption and capability usage","1","1","42","303","4","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-reference.md","Customer Success Management reference","1","1","35","202","7","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-related-items.md","View related items","1","1","40","276","1","3","0","0","0","0","3"
"markdown/acct-lifecycle-events/account-lifecycle-renewal-playbook.md","Renewal playbook","1","1","26","113","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-risk_signal_solution.md","Associate risk signals","1","3","81","226","1","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-risk-demo-data.md","Sample risk definitions","1","4","38","341","3","3","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-risk-frmwrk.md","Risk framework","1","1","34","236","3","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-risk-issues-page.md","Risk and issues page","1","2","72","849","5","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-risk-portfolio.md","Risk portfolio dashboard","1","1","69","525","4","4","0","0","0","0","4"
"markdown/acct-lifecycle-events/account-lifecycle-setup-color-banding.md","Set up the color banding table","1","3","93","306","1","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-setup-dce.md","Set up the Data Context Engine","1","1","22","149","3","0","0","0","1","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-setup-health-defn.md","Calculate the engagement health score","1","5","130","591","4","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-setup-metric-data.md","Data Context Engine","1","1","31","270","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-setup-rec-action.md","Set up recommended actions for account onboarding","1","3","41","158","5","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-setup-risk-defn.md","Define risk criteria","1","4","179","880","6","1","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-success-blueprint.md","Success blueprint template","1","1","23","199","1","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-success-business-rules.md","Customer success management business rules","1","1","1543","2711","1","0","0","0","0","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-success-flows.md","Customer success management flows","1","1","40","608","1","0","0","0","1","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-success-initiative.md","Create a success initiative","1","5","215","775","7","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-success-landing.md","Success portfolio dashboard","1","1","49","356","3","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-success-playbook.md","Success case playbook","1","1","26","190","2","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-success-report-overview.md","Success report dashboard overview","1","1","41","293","3","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-success-report.md","Success report dashboard","1","5","105","1120","8","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-success-roadmap.md","Success initiative roadmap","1","1","41","300","1","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-success-roles.md","Customer success management roles","1","1","1604","1523","1","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-success-score-calc.md","Measure success rate","1","3","54","480","1","1","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-success-tables.md","Customer success management tables","1","1","48","637","1","0","0","0","1","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-touchpoint-home.md","Touchpoint home page","1","5","328","1991","6","2","0","0","0","2","3"
"markdown/acct-lifecycle-events/account-lifecycle-touchpoint-planner.md","Touchpoint planner","1","1","41","320","2","2","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-touchpoints.md","Touchpoints","1","2","27","148","1","0","0","0","1","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-use-cust-success.md","Customer success","1","1","41","348","11","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-use-playbook-data-capture.md","Data capture and validation","1","1","69","452","8","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-use-playbook-development.md","Development and automation","1","1","54","221","2","0","0","0","0","1","2"
"markdown/acct-lifecycle-events/account-lifecycle-use-playbook-initiate.md","Initial setup","1","2","128","806","3","0","0","0","2","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-use-playbook-test-golive.md","Testing, training, and go-live","1","1","69","307","2","0","0","0","0","1","3"
"markdown/acct-lifecycle-events/account-lifecycle-use-playbook.md","Set up the account onboarding playbook","1","1","51","494","13","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-use.md","Account onboarding","1","1","33","224","7","0","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-view-csm-portal.md","View account onboarding cases in the CSM portal","1","3","70","522","2","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-view-customer-success-portal.md","View customer success cases in the CSM portal","1","3","95","630","2","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-view-engage.md","Engagement home page","1","9","239","1826","20","9","0","0","0","1","6"
"markdown/acct-lifecycle-events/account-lifecycle-view-par-roadmap.md","View a product adoption roadmap","1","4","60","426","3","1","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-view-success-object.md","Success objective record page","1","1","31","279","1","1","0","0","0","0","2"
"markdown/acct-lifecycle-events/account-lifecycle-view-sucess-outcome.md","Primary success outcome record page","1","1","31","231","3","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifecycle-zoom-meeting-summary.md","Generate summary for Zoom meetings","1","3","59","350","2","0","0","0","0","0","1"
"markdown/acct-lifecycle-events/account-lifeycle-health-frmwk.md","Health framework","1","1","32","264","2","0","0","0","1","0","1"
"markdown/acct-lifecycle-events/index.md","Australia Customer Success Management","1","1","134","3353","123","0","0","0","0","0","2"
"markdown/api-reference/api-client-next.md","Client Next Experience API reference","1","1","35","309","8","0","0","0","0","0","1"
"markdown/api-reference/api-client.md","Client API reference","1","1","91","976","36","0","0","0","0","0","1"
"markdown/api-reference/api-implementation-reference.md","API implementation and reference","1","3","53","248","3","0","0","0","0","1","2"
"markdown/api-reference/api-implementation.md","API implementation","1","2","49","292","2","0","0","0","0","1","2"
"markdown/api-reference/api-product-type.md","Browse APIs by product","1","1","1380","5097","622","0","0","0","0","1","3"
"markdown/api-reference/api-reference.md","API reference","1","6","105","764","18","0","0","0","0","1","2"
"markdown/api-reference/api-reference/Chunk1181956536.md","","0","0","1","0","0","0","0","0","0","0","2"
"markdown/api-reference/api-reference/r_RMV2-saveRespBodyAsAttach_S_S_S_S-1.md","RESTMessageV2 - saveResponseBodyAsAttachment(String tableName, String recordSysId, String fileName, String encryptContext)","1","1","30","238","0","0","0","0","2","0","2"
"markdown/api-reference/api-reference/r_RMV2-saveRespBodyAsAttach_S_S_S-1.md","RESTMessageV2 - saveResponseBodyAsAttachment(String tableName, String recordSysId, String fileName)","1","1","61","287","0","0","1","1","2","0","3"
"markdown/api-reference/api-reference/t_JavaScriptLog-1.md","Access the JavaScript log","1","4","66","255","1","0","0","0","0","1","3"
"markdown/api-reference/business-rules-classic/c_BusinessRules.md","Classic Business rules","1","32","804","5679","11","1","18","18","2","2","24"
"markdown/api-reference/c_GlideAjaxAPI.md","GlideAjax- Client","1","7","268","1358","1","0","6","6","11","0","8"
"markdown/api-reference/c_GlideDialogWindowAPI.md","GlideDialogWindow- Client (deprecated)","1","8","175","660","2","0","7","7","14","0","9"
"markdown/api-reference/c_GlideDocumentV3API.md","GlideDocument- Client","1","3","58","288","1","0","1","1","4","0","3"
"markdown/api-reference/c_GlideFormAPI.md","GlideForm (g_form) - Client","1","88","3290","10144","45","0","71","71","140","37","133"
"markdown/api-reference/c_GlideGuidV3API.md","GlideGuid- Client","1","2","34","153","1","0","0","0","2","0","2"
"markdown/api-reference/c_GlideList2API.md","GlideList2 (g_list)- Client","1","30","794","2448","4","0","28","28","55","3","36"
"markdown/api-reference/c_GlideListV3API.md","GlideListV3 (g_list) - Client (deprecated)","1","38","506","2064","2","0","0","0","73","1","4"
"markdown/api-reference/c_GlideMenuAPI.md","GlideMenu (g_menu and g_item)- Client","1","10","167","677","1","0","7","7","18","0","9"
"markdown/api-reference/c_GlideModalFormV3API.md","GlideModalForm- Client","1","7","288","941","1","0","7","7","9","2","12"
"markdown/api-reference/c_GlideModalV3API.md","GlideModal- Client","1","13","681","2493","11","1","15","15","19","4","24"
"markdown/api-reference/c_GlideNavigationV3API.md","GlideNavigation- Client","1","6","213","504","2","0","5","5","8","2","11"
"markdown/api-reference/c_GlideNotificationV3API.md","GlideNotification- Client","1","2","95","253","1","0","1","1","1","1","5"
"markdown/api-reference/c_GlideRecordClientSideAPI.md","GlideRecord- Client","1","17","496","2199","10","0","14","14","30","1","18"
"markdown/api-reference/c_GlideURLV3API.md","GlideURLV3- Client","1","4","63","263","1","0","1","1","5","0","3"
"markdown/api-reference/c_GlideUserAPI.md","GlideUser - Client","1","12","355","1080","9","0","15","15","14","4","25"
"markdown/api-reference/c_i18NV3API.md","i18N- Client","1","4","70","411","1","0","1","1","6","0","3"
"markdown/api-reference/c_MobileGlideForm_API.md","Mobile GlideForm (g_form)- Client","1","6","151","540","1","0","5","5","10","0","7"
"markdown/api-reference/c_Notify2WebRTCClient.md","NotifyClient- Client","1","7","679","2346","2","0","19","19","6","4","28"
"markdown/api-reference/c_openFrameAPI.md","openFrameAPI- Client","1","9","3782","8514","3","5","55","55","10","5","66"
"markdown/api-reference/c_ScriptLoaderAPI.md","ScriptLoader- Client","1","3","83","303","1","0","2","2","4","0","4"
"markdown/api-reference/c_StopWatchAPI.md","StopWatch- Client","1","6","190","305","1","0","4","4","6","2","8"
"markdown/api-reference/cllent-mobile-api-reference/api-client-mobile.md","Client mobile API reference","1","1","47","326","14","0","0","0","0","0","1"
"markdown/api-reference/cllent-mobile-api-reference/api-mobile_sdk.md","Mobile SDK API reference","1","1","25","136","3","0","0","0","0","0","1"
"markdown/api-reference/cllent-mobile-api-reference/AuthorizationTokenAndroidAPI.md","AuthorizationToken class- Android","1","2","140","251","1","0","1","1","1","2","6"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-attachments-namespace.md","cabrillo.attachments - Client","1","3","288","793","2","0","8","8","2","1","11"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-camera-namespace.md","cabrillo.camera - Client","1","2","49","196","1","0","1","1","2","0","2"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-constants.md","Cabrillo JS constants","1","4","93","403","2","0","0","0","3","1","2"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-datatypes.md","Cabrillo JS data types","1","6","268","710","5","0","0","0","4","3","4"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-FC-namespace.md","cabrillo.flowControl - Client","1","3","97","276","1","0","2","2","3","1","5"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-messgage-namespace.md","cabrillo.message - Client","1","2","86","176","2","0","1","1","1","1","4"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-modal-namespace.md","cabrillo.modal - Client","1","3","151","466","3","0","2","2","3","1","5"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-namespace.md","cabrillo - Client","1","2","53","252","1","0","2","2","2","0","3"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-navigation-namespace.md","cabrillo.navigation - Client","1","3","92","305","1","0","5","5","4","0","6"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-nowapp-namespace.md","cabrillo.nowapp - Client","1","6","299","946","4","0","10","10","4","6","17"
"markdown/api-reference/cllent-mobile-api-reference/cabrillo-viewLayout-namespace.md","cabrillo.viewLayout - Client","1","9","397","1052","1","0","16","16","14","1","19"
"markdown/api-reference/cllent-mobile-api-reference/CallAndroidInterface.md","Call interface- Android","1","4","131","408","3","0","3","3","6","1","7"
"markdown/api-reference/cllent-mobile-api-reference/FetchConfigAndroidAPI.md","FetchConfiguration class- Android","1","2","94","290","6","0","1","1","1","1","4"
"markdown/api-reference/cllent-mobile-api-reference/FetchConfigiOSStructure.md","FetchConfiguration structure- iOS","1","2","156","421","5","0","1","1","1","2","6"
"markdown/api-reference/cllent-mobile-api-reference/FieldReadConfigAndroidAPI.md","FieldReadConfiguration class- Android","1","2","86","315","3","0","1","1","1","1","4"
"markdown/api-reference/cllent-mobile-api-reference/FieldReadConfigurationiOSStruct.md","FieldReadConfiguration structure- iOS","1","2","150","578","3","0","1","1","1","2","6"
"markdown/api-reference/cllent-mobile-api-reference/FieldWriteOptionsAndroidAPI.md","FieldWriteOptions structure- Android","1","2","71","271","2","0","1","1","1","1","4"
"markdown/api-reference/cllent-mobile-api-reference/FieldWriteOptionsiOSStruct.md","FieldWriteOptions class- iOS","1","1","79","177","1","0","0","0","0","1","3"
"markdown/api-reference/cllent-mobile-api-reference/FilterAndroidAPI.md","Filter class- Android","1","3","175","576","1","0","2","2","3","2","8"
"markdown/api-reference/cllent-mobile-api-reference/FilteriOSStructure.md","Filter structure- iOS","1","5","269","632","3","0","4","4","5","3","12"
"markdown/api-reference/cllent-mobile-api-reference/m_formClientAPI.md","m_form- Client","1","6","251","708","4","0","8","8","8","2","12"
"markdown/api-reference/cllent-mobile-api-reference/MobileScriptInclCallerClientAPI.md","MobileScriptIncludeCaller- Client","1","4","175","653","5","0","4","4","3","2","9"
"markdown/api-reference/cllent-mobile-api-reference/MobileSDKAndroidAPI.md","Mobile SDK - Android","1","1","87","1010","34","0","0","0","0","0","1"
"markdown/api-reference/cllent-mobile-api-reference/MobileSDKiOSAPI.md","Mobile SDK - iOS","1","1","99","1141","40","0","0","0","0","0","1"
"markdown/api-reference/cllent-mobile-api-reference/NotSupportedPushErrorAndroidAPI.md","NotSupportedPushError class- Android","1","1","25","159","2","0","0","0","1","0","2"
"markdown/api-reference/cllent-mobile-api-reference/NowAnalyticsAndroidInterface.md","NowAnalyticsSDK interface- Android","1","17","574","2109","5","0","16","16","26","7","30"
"markdown/api-reference/cllent-mobile-api-reference/NowAnalyticsServiceDeliOSProtocol.md","NowAnalyticsServiceDelegate protocol- iOS","1","6","340","1134","1","0","5","5","8","2","9"
"markdown/api-reference/cllent-mobile-api-reference/NowAnalyticsServiceiOSProtocol.md","NowAnalyticsService protocol- iOS","1","9","583","1767","6","0","13","13","11","5","24"
"markdown/api-reference/cllent-mobile-api-reference/NowAPIEndpointiOSProtocol.md","NowAPIEndpoint protocol- iOS","1","1","69","128","1","0","0","0","0","1","3"
"markdown/api-reference/cllent-mobile-api-reference/NowAPIServiceAndroidInterface.md","NowAPIService interface- Android","1","2","130","331","4","0","1","1","2","1","5"
"markdown/api-reference/cllent-mobile-api-reference/NowAPIServiceiOSAPI.md","NowAPIService class- iOS","1","4","535","1440","5","0","3","3","2","5","11"
"markdown/api-reference/cllent-mobile-api-reference/NowAttachmentAndroidAPI.md","NowAttachment class- Android","1","1","25","99","2","0","0","0","1","0","2"
"markdown/api-reference/cllent-mobile-api-reference/NowAttachmentiOSStructure.md","NowAttachment structure- iOS","1","2","116","300","5","0","1","1","1","2","5"
"markdown/api-reference/cllent-mobile-api-reference/NowAttachmentMetadataAndroidAPI.md","NowAttachmentMetadata class- Android","1","2","574","663","1","0","0","0","1","2","5"
"markdown/api-reference/cllent-mobile-api-reference/NowAttachmentMetadataiOSStructure.md","NowAttachmentMetadata structure- iOS","1","3","351","598","4","0","2","2","4","1","5"
"markdown/api-reference/cllent-mobile-api-reference/NowAttachmentServiceiOSAPI.md","NowAttachmentService class- iOS","1","18","2281","6947","25","0","17","17","10","24","49"
"markdown/api-reference/cllent-mobile-api-reference/NowAttachServiceAndroidInterface.md","NowAttachmentService interface- Android","1","7","316","932","16","0","6","6","8","5","15"
"markdown/api-reference/cllent-mobile-api-reference/NowAttachUploadConfigiOSStruct.md","NowAttachmentUploadConfiguration structure- iOS","1","2","187","334","1","0","1","1","1","2","6"
"markdown/api-reference/cllent-mobile-api-reference/NowChatColoringiOSProtocol.md","NowChatColoring protocol- iOS","1","1","294","639","1","0","1","1","0","1","4"
"markdown/api-reference/cllent-mobile-api-reference/NowChatiOSAPI.md","NowChat API- iOS","1","3","101","495","3","0","2","2","4","0","3"
"markdown/api-reference/cllent-mobile-api-reference/NowChatOptionsAndroid.md","NowChatConfiguration class- Android","1","6","472","1391","9","0","12","12","5","5","24"
"markdown/api-reference/cllent-mobile-api-reference/NowChatOptionsiOS.md","NowChatConfiguration- iOS","1","5","466","1500","7","0","10","10","3","4","19"
"markdown/api-reference/cllent-mobile-api-reference/NowChatSDKAndroidAPI.md","NowChatSDK class- Android","1","2","53","238","4","0","1","1","2","0","3"
"markdown/api-reference/cllent-mobile-api-reference/NowChatSdkCallbacksAndroidInt.md","NowChatSdkCallbacks interface- Android","1","5","258","753","5","0","4","4","6","3","11"
